Agreement_Num_Region-Co-Dist-Type Code,Sit_Num,Site Name,Site Address,Site City,Site Zip,Site Count,Free Eligibles,Reduced Eligibles,Enrollment,Participates in CEP,CEP Num identified students,Cep Enrollment,PC of Free And Reduced-Priced Eligibility,PC of Free Eligibility,RCDTS
15-016-2990-25,12134,Mason Elem School,4217 W 18th St,Chicago,60623-2325,Cook,373,0,373,X,358,423,1,0.846335697,1.50163E+14
15-016-2990-25,11860,Mather High School,5835 N Lincoln Ave,Chicago,60659-4610,Cook,1517,0,1517,X,952,1559,0.977036562,0.610647851,1.50163E+14
15-016-2990-25,12136,Mayer Elem School,2250 N Clifton Ave,Chicago,60614-3523,Cook,730,0,730,X,151,669,0.361136024,0.225710015,1.50163E+14
15-016-2990-25,12347,Mays Elem Academy,6656 S Normal Blvd,Chicago,60621-2558,Cook,423,0,423,X,401,467,1,0.858672377,1.50163E+14
15-016-2990-25,12398,McAuliffe Elem School,1841 N Springfield Ave,Chicago,60647-4600,Cook,766,0,766,X,602,732,1,0.822404372,1.50163E+14
15-016-2990-25,12138,McClellan Elem School,3527 S Wallace St,Chicago,60609-1737,Cook,370,0,370,X,246,304,1,0.809210526,1.50163E+14
15-016-2990-25,12140,McCormick Elem School,2712 S Sawyer Ave,Chicago,60623-4738,Cook,800,0,800,X,723,829,1,0.872135103,1.50163E+14
15-016-2990-25,12141,McCutcheon Elem School,4865 N Sheridan Rd,Chicago,60640-3717,Cook,427,0,427,X,373,462,1,0.807359307,1.50163E+14
15-016-2990-25,12142,McDade Elem Classical School,8801 S Indiana Ave,Chicago,60619-6692,Cook,196,0,196,X,67,181,0.592265193,0.370165746,1.50163E+14
15-016-2990-25,12322,McDowell Elem School,1419 E 89th St,Chicago,60619-7196,Cook,171,0,171,X,140,186,1,0.752688172,1.50163E+14
15-016-2990-25,12143,McKay Elem School,6901 S Fairfield Ave,Chicago,60629-1912,Cook,815,0,815,X,727,844,1,0.861374408,1.50163E+14
15-016-2990-25,12301,McNair Elem School,4820 W Walton St,Chicago,60651-3209,Cook,405,0,405,X,330,392,1,0.841836735,1.50163E+14
15-016-2990-25,12144,McPherson Elem School,4728 N Wolcott Ave,Chicago,60640-4364,Cook,742,0,742,X,560,790,1,0.70886076,1.50163E+14
15-016-2990-25,12147,Melody Elem School,3937 W Wilcox St,Chicago,60624-2833,Cook,510,0,510,X,501,574,1,0.8728223,1.50163E+14
15-016-2990-25,12348,Metcalfe Elem Community Academy,12339 S Normal Ave,Chicago,60628-6413,Cook,419,0,419,X,370,453,1,0.816777042,1.50163E+14
15-016-2990-25,12232,Mireles Elem Academy,9000 S Exchange Ave,Chicago,60617-4296,Cook,579,0,579,X,602,700,1,0.86,1.50163E+14
15-016-2990-25,12148,Mitchell Elem School,2233 W Ohio St,Chicago,60612-1519,Cook,399,0,399,X,202,361,0.895290859,0.559556787,1.50163E+14
15-016-2990-25,12149,Mollison Elem School,4415 S Dr Martin L King Jr Dr,Chicago,60653-3310,Cook,381,0,381,X,376,440,1,0.854545455,1.50163E+14
