RCDTS,School Name,City,SAT Reading Total Students Level 1 PC,SAT Reading Total Students Level 2 PC,SAT Reading Total Students Level 3 PC,SAT Reading Total Students Level 4 PC,SAT Math Total Students Level 1 PC,SAT Math Total Students Level 2 PC,SAT Math Total Students Level 3 PC,SAT Math Total Students Level 4 PC,SAT Reading Total Low Income Students Level 1 PC,SAT Reading Total Low Income Students Level 2 PC,SAT Reading Total Low Income Students Level 3 PC,SAT Reading Total Low Income Students Level 4 PC,SAT Math Total Low Income Students Level 1 PC,SAT Math Total Low Income Students Level 2 PC,SAT Math Total Low Income Students Level 3 PC,SAT Math Total Low Income Students Level 4 PC,Total Students SAT Math Participation PC,Low Income Students SAT Math Participation PC,Total Students SAT ELA Participation PC,Low Income Students SAT ELA Participation PC
1.07E+13,Waverly Junior/Senior High School,Waverly,26.9,30.8,38.5,3.8,23.1,50,19.2,7.7,,,,,,,,,100,,100,
1.07E+13,Waverly Elementary School,Waverly,,,,,,,,,,,,,,,,,,,,
1.07E+13,,Meredosia,45.5,27.3,18.2,9.1,54.5,27.3,18.2,0,,,,,,,,,100,,100,
1.07E+13,Meredosia-Chambersburg High Sch,Meredosia,45.5,27.3,18.2,9.1,54.5,27.3,18.2,0,,,,,,,,,100,,100,
1.07E+13,Meredosia-Chambersburg Jr High,Meredosia,,,,,,,,,,,,,,,,,,,,
1.07E+13,Meredosia-Chambersburg Elem Sch,Meredosia,,,,,,,,,,,,,,,,,,,,
1.07E+13,,Concord,16.7,33.3,33.3,16.7,23.3,36.7,36.7,3.3,,,,,,,,,100,,100,
1.07E+13,Triopia Jr-Sr High School,Concord,16.7,33.3,33.3,16.7,23.3,36.7,36.7,3.3,,,,,,,,,100,,100,
1.07E+13,Triopia Grade School,Concord,,,,,,,,,,,,,,,,,,,,
1.07E+13,,Jacksonville,27.2,43.7,22.8,6.3,41.3,35.4,21.4,1.9,41.3,38.7,16,4,58.7,29.3,10.7,1.3,99.5,98.7,99.5,98.7
1.07E+13,Jacksonville High School,Jacksonville,27.3,43.4,22.9,6.3,41,35.6,21.5,2,41.3,38.7,16,4,58.7,29.3,10.7,1.3,99.5,98.7,99.5,98.7
1.07E+13,Jacksonville Middle School,Jacksonville,,,,,,,,,,,,,,,,,,,,
1.07E+13,Eisenhower Elem School,Jacksonville,,,,,,,,,,,,,,,,,,,,
1.07E+13,Washington Elem School,Jacksonville,,,,,,,,,,,,,,,,,,,,
1.07E+13,Lincoln Elem School,Jacksonville,,,,,,,,,,,,,,,,,,,,
1.07E+13,South Jacksonville Elem School,South Jacksonville,,,,,,,,,,,,,,,,,,,,
1.07E+13,North Jacksonville School,Jacksonville,,,,,,,,,,,,,,,,,,,,
1.07E+13,Murrayville-Woodson Elem School,Murrayville,,,,,,,,,,,,,,,,,,,,
1.07E+13,Clay Court,Jacksonville,,,,,,,,,,,,,,,,,,,,
1.07E+13,Walnut Court Early Years Prgm,Jacksonville,,,,,,,,,,,,,,,,,,,,
1.08E+13,,Pleasant Hill,33.3,38.9,27.8,0,44.4,44.4,11.1,0,40,50,10,0,40,50,10,0,100,100,100,100
1.08E+13,Pleasant Hill High School,Pleasant Hill,29.4,41.2,29.4,0,41.2,47.1,11.8,0,40,50,10,0,40,50,10,0,100,100,100,100
1.08E+13,Pleasant Hill Elem School,Pleasant Hill,,,,,,,,,,,,,,,,,,,,
1.08E+13,,Griggsville,45.5,45.5,9.1,0,54.5,45.5,0,0,56.3,37.5,6.3,0,62.5,37.5,0,0,100,100,100,100
1.08E+13,Griggsville-Perry High School,Griggsville,42.9,47.6,9.5,0,52.4,47.6,0,0,53.3,40,6.7,0,60,40,0,0,100,100,100,100
1.08E+13,Griggsville-Perry Middle School,Perry,,,,,,,,,,,,,,,,,,,,
1.08E+13,Griggsville-Perry Primary School,Griggsville,,,,,,,,,,,,,,,,,,,,
1.08E+13,,Pittsfield,16.7,44.4,31.9,6.9,41.7,29.2,29.2,0,24.1,58.6,17.2,0,55.2,34.5,10.3,0,100,100,100,100
1.08E+13,Pittsfield High School,Pittsfield,16.7,44.4,31.9,6.9,41.7,29.2,29.2,0,24.1,58.6,17.2,0,55.2,34.5,10.3,0,100,100,100,100
1.08E+13,Pittsfield South Elem School,Pittsfield,,,,,,,,,,,,,,,,,,,,
1.08E+13,Pikeland Community School,Pittsfield,,,,,,,,,,,,,,,,,,,,
1.08E+13,,Barry,19.4,50,25,5.6,30.6,36.1,27.8,5.6,17.4,56.5,17.4,8.7,43.5,26.1,26.1,4.3,100,100,100,100
1.08E+13,Western High School,Barry,19.4,50,25,5.6,30.6,36.1,27.8,5.6,17.4,56.5,17.4,8.7,43.5,26.1,26.1,4.3,100,100,100,100
1.08E+13,Western Jr High School,Kinderhook,,,,,,,,,,,,,,,,,,,,
1.08E+13,Western Barry Elem,Barry,,,,,,,,,,,,,,,,,,,,
